epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0521,2.2366,4.14851,2.11728,0.00146,0.15536,0.00117,0.00037,2.68372,4.2529,2.57761,1.667e-05,1.667e-05,1.667e-05
2,65.7804,2.25637,3.72836,2.0374,0.00883,0.31071,0.00557,0.00274,2.06886,4.00005,2.12604,4.90198e-05,4.90198e-05,4.90198e-05
3,98.8454,1.70624,2.89316,1.65191,0.19335,0.25536,0.16637,0.09871,1.4593,2.59001,1.45823,8.00493e-05,8.00493e-05,8.00493e-05
4,132.751,1.39886,2.0125,1.36125,0.90539,0.3375,0.37185,0.27281,1.12293,1.49676,1.09887,0.000109759,0.000109759,0.000109759
5,166.219,1.48971,1.99555,1.42292,0.36919,0.59286,0.49402,0.35565,1.01126,1.19026,1.01301,0.000138148,0.000138148,0.000138148
6,199.103,1.35264,1.86043,1.29518,0.63411,0.54286,0.5457,0.38154,0.99594,1.20275,0.99503,0.000165216,0.000165216,0.000165216
7,230.726,1.2747,1.78533,1.25146,0.50582,0.6523,0.57583,0.40481,1.02285,1.18023,0.9792,0.000190965,0.000190965,0.000190965
8,263.944,1.13932,1.57975,1.14758,0.49002,0.74821,0.5682,0.39199,1.03507,1.30105,0.98683,0.000215393,0.000215393,0.000215393
9,297.094,1.11062,1.42047,1.12547,0.49063,0.74821,0.55396,0.38067,1.05663,1.35508,1.00208,0.000238501,0.000238501,0.000238501
10,330.593,1.12017,1.48928,1.19551,0.50558,0.62679,0.57834,0.38516,1.08421,1.24187,1.0189,0.000260289,0.000260289,0.000260289
11,362.341,1.10399,1.43665,1.13982,0.56024,0.5618,0.57394,0.40062,1.05072,1.14553,0.99227,0.000280756,0.000280756,0.000280756
12,393.367,1.03119,1.34971,1.06616,0.6984,0.54847,0.57222,0.40231,1.01388,1.13521,0.97479,0.000299903,0.000299903,0.000299903
13,425.301,1.14367,1.44167,1.16124,0.71586,0.5155,0.57482,0.3974,0.9991,1.12431,0.97471,0.00031773,0.00031773,0.00031773
14,458.418,1.05363,1.49923,1.10524,0.46517,0.7552,0.58447,0.3878,1.05229,1.1702,0.99512,0.000334237,0.000334237,0.000334237
15,491.226,0.95244,1.26715,1.05722,0.48201,0.84701,0.54593,0.35767,1.08131,1.39766,1.01474,0.000349423,0.000349423,0.000349423
16,524.105,1.00822,1.29751,1.06275,0.4438,0.8621,0.53777,0.357,1.09464,1.36725,1.02474,0.000363289,0.000363289,0.000363289
17,557.716,0.96029,1.27661,1.07305,0.49415,0.63716,0.5697,0.38895,1.07459,1.27422,1.02464,0.000375835,0.000375835,0.000375835
18,591.053,0.90554,1.20754,1.03775,0.44243,0.62571,0.5411,0.3904,1.04961,1.37056,1.01575,0.000387061,0.000387061,0.000387061
19,624.515,0.92101,1.18744,1.04418,0.38478,0.6296,0.43396,0.308,1.06002,1.74235,1.02747,0.000396966,0.000396966,0.000396966
20,657.682,1.02578,1.26976,1.13606,0.49572,0.60679,0.52706,0.36062,1.06254,1.4378,1.03981,0.000405551,0.000405551,0.000405551
21,689.661,1.02178,1.19383,1.12257,0.46557,0.69821,0.54085,0.37174,1.02614,1.27473,1.03525,0.000412816,0.000412816,0.000412816
22,723.329,1.08168,1.21504,1.16827,0.45146,0.76071,0.51952,0.3676,1.01453,1.13867,1.02259,0.00041876,0.00041876,0.00041876
23,757.199,1.0757,1.289,1.17804,0.40426,0.77321,0.51414,0.35468,1.03919,1.06793,1.0059,0.000423385,0.000423385,0.000423385
24,789.682,0.98478,1.24041,1.02431,0.52317,0.67602,0.57768,0.39222,1.06033,1.13229,1.02272,0.000426689,0.000426689,0.000426689
25,820.706,0.89318,1.10335,1.04031,0.46275,0.62791,0.57316,0.38768,1.0819,1.21262,1.05508,0.000428672,0.000428672,0.000428672
26,852.139,1.0517,1.30558,1.16028,0.41794,0.68285,0.49874,0.33723,1.08434,1.29823,1.08461,0.000429336,0.000429336,0.000429336
27,883.845,0.87727,1.12262,1.01645,0.56537,0.69169,0.57667,0.3813,1.08747,1.21168,1.05053,0.000428679,0.000428679,0.000428679
28,916.827,1.0924,1.32372,1.1812,0.56537,0.69169,0.57667,0.3813,1.08747,1.21168,1.05053,0.000426702,0.000426702,0.000426702
29,949.572,1.02139,1.14589,1.11686,0.48829,0.71071,0.54458,0.3608,1.10781,1.15735,1.03691,0.000423405,0.000423405,0.000423405
30,981.867,0.98388,1.15792,1.06985,0.64976,0.54286,0.53686,0.3525,1.11021,1.27757,1.04786,0.000418787,0.000418787,0.000418787
31,1014.2,1.0322,1.11002,1.10026,0.64976,0.54286,0.53686,0.3525,1.11021,1.27757,1.04786,0.000412849,0.000412849,0.000412849
32,1045.68,0.90518,1.1783,1.05527,0.50407,0.626,0.48756,0.33346,1.1181,1.3342,1.05778,0.000405591,0.000405591,0.000405591
33,1077.84,0.95645,1.12721,1.07272,0.49807,0.78214,0.56535,0.3977,1.12634,1.25807,1.05323,0.000397013,0.000397013,0.000397013
34,1108.91,0.92078,1.06295,1.03435,0.49807,0.78214,0.56535,0.3977,1.12634,1.25807,1.05323,0.000387114,0.000387114,0.000387114
35,1140.7,0.87489,1.09663,1.03567,0.5355,0.76964,0.59151,0.41672,1.11465,1.14041,1.04216,0.000375895,0.000375895,0.000375895
36,1172.62,0.8292,1.00252,0.99751,0.507,0.87857,0.5935,0.42192,1.05549,1.04063,1.01758,0.000363356,0.000363356,0.000363356
37,1203.36,0.9543,1.23834,1.11633,0.507,0.87857,0.5935,0.42192,1.05549,1.04063,1.01758,0.000349497,0.000349497,0.000349497
38,1233.41,0.97188,1.21434,1.11226,0.50762,0.73571,0.5666,0.40009,1.00177,1.05127,0.99629,0.000334317,0.000334317,0.000334317
39,1263.94,0.88187,1.05565,1.03885,0.45875,0.80714,0.57565,0.40332,0.99545,1.04556,0.98815,0.000317817,0.000317817,0.000317817
40,1296.2,0.92204,1.17015,1.07357,0.45875,0.80714,0.57565,0.40332,0.99545,1.04556,0.98815,0.000299997,0.000299997,0.000299997
41,1331.05,0.68175,0.87944,0.91083,0.45087,0.59286,0.5256,0.38013,0.98544,1.04213,0.97494,0.000280856,0.000280856,0.000280856
42,1365.4,0.7317,0.87267,0.96289,0.46101,0.58036,0.5486,0.39444,0.96027,1.07502,0.96209,0.000260395,0.000260395,0.000260395
43,1394.97,0.62094,0.8484,0.89984,0.46101,0.58036,0.5486,0.39444,0.96027,1.07502,0.96209,0.000238614,0.000238614,0.000238614
44,1425.85,0.66051,0.89475,0.9004,0.46171,0.60536,0.54761,0.40373,0.93679,1.02733,0.96231,0.000215513,0.000215513,0.000215513
45,1456.2,0.62709,0.8331,0.9125,0.46171,0.60536,0.54761,0.40373,0.93679,1.02733,0.96231,0.000191092,0.000191092,0.000191092
46,1486.68,0.6148,0.77793,0.88729,0.4228,0.61786,0.57579,0.42857,0.92624,0.95156,0.96026,0.00016535,0.00016535,0.00016535
47,1516.67,0.58835,0.75895,0.89302,0.4228,0.61786,0.57579,0.42857,0.92624,0.95156,0.96026,0.000138288,0.000138288,0.000138288
48,1547.19,0.6242,0.79017,0.93353,0.50233,0.76071,0.63198,0.46712,0.92207,0.91971,0.96363,0.000109905,0.000109905,0.000109905
49,1576.59,0.59535,0.74191,0.87694,0.50233,0.76071,0.63198,0.46712,0.92207,0.91971,0.96363,8.02027e-05,8.02027e-05,8.02027e-05
50,1607.15,0.60864,0.79285,0.92591,0.55026,0.76071,0.59453,0.4434,0.9176,0.89753,0.96134,4.91798e-05,4.91798e-05,4.91798e-05
